id,hash,data,files
46,75393,ist (identifier)) (expression_list (subscript (sub,"[8,9,10,11,12,13,14,15]"
47,324340,entifier)) (expression_list (subscript (subscript ,"[8,9,10,11,12,13,14,15]"
48,715006,xpression_list (subscript (subscript (attribute (i,"[8,9,10,11,12,13,14,15]"
49,802380,(identifier) (identifier)) (identifier)) (identifi,"[8,9,10,11,12,13,14,15]"
50,227145, (identifier)) (identifier))))) (expression_statem,"[8,9,10,11,12,13,14,15]"
51,443196,(identifier))))) (expression_statement (assignment,"[8,9,10,11,12,13,14,15]"
52,772305,ntifier))))) (expression_statement (assignment (ex,"[8,9,10,11,12,13,14,15]"
53,1282120,ression_statement (assignment (expression_list (at,"[8,9,10,11,12,13,14,15]"
54,29744,entifier) (identifier))) (expression_list (call (a,"[8,9,10,11,12,13,14,15]"
55,24877,ifier))) (expression_list (call (attribute (identi,"[8,9,10,11,12,13,14,15]"
56,1001487,n (identifier) (parameters (identifier) (identifie,"[8,9,10,11,12,13,14,15]"
57,690905,fier)) (block (for_statement (variables (identifie,"[8,9,10,11,12,13,14,15]"
58,1198683, (argument_list (binary_operator (identifier) (int,"[8,9,10,11,12,13,14,15]"
59,1681851,or (subscript (subscript (attribute (identifier) (,"[8,10,11,12,13,14]"
60,1786866,t (subscript (binary_operator (subscript (subscrip,"[8,9,10,11,12,13,14,15]"
61,655030,ript (binary_operator (subscript (subscript (attri,"[8,10,11,12,13,14]"
62,202319,) (integer)) (integer)) (attribute (identifier) (i,"[8,10,11,12,13,14]"
63,374156,ression_list (identifier)) (expression_list (binar,"[8,9,10,11,12,13,14,15]"
64,864729,t (attribute (identifier) (identifier)) (integer)),"[8,10,11,12,13,14]"
65,325865,entifier)) (expression_list (binary_operator (subs,"[8,9,10,11,12,13,14,15]"
66,1451003,)) (integer)) (integer)) (identifier))))) (express,"[8,10,11,12,13,14]"
67,1093563,ple (integer) (attribute (identifier) (identifier),"[8,10,11,12,13,14]"
68,847530,ifier)) (identifier)) (tuple (integer) (attribute ,"[8,10,11,12,13,14]"
69,496930,er)) (tuple (integer) (attribute (identifier) (ide,"[8,10,11,12,13,14]"
70,1328883,ssion_list (identifier)) (expression_list (call (i,"[8,9,10,11,12,13,14,15]"
71,30223,ifier)) (binary_operator (identifier) (integer))) ,"[8,9,10,11,12,13,14,15]"
72,1669004,atement (augmented_assignment (expression_list (su,"[8,10,11,12,13,14]"
73,1232119,assignment (expression_list (subscript (subscript ,"[8,10,11,12,13,14]"
74,608499,ssignment (expression_list (subscript (subscript (,"[8,9,10,11,12,13,14,15]"
75,888604,dentifier) (identifier)) (identifier)) (binary_ope,"[8,10,11,12,13,14]"
76,1054719,st (identifier)))))) (expression_statement (assign,"[8,9,10,11,12,13,14,15]"
77,1314922,fier)))))) (expression_statement (assignment (expr,"[8,9,10,11,12,13,14,15]"
78,30232,ifier)) (binary_operator (identifier) (integer)))),"[8,9,10,11,12,13,14,15]"
79,270956,ist (call (identifier) (argument_list (list_compre,"[8,9,10,11,12,13,14]"
80,1539917,variables (identifier)) (call (identifier) (argume,"[8,9,10,11,12,13,14,15]"
81,1331519,(identifier) (argument_list (binary_operator (iden,"[8,10,11,12,13,14]"
82,2028720,entifier) (integer))))))) (expression_statement (a,"[8,9,10,11,12,13,14,15]"
83,124814,_operator (call (attribute (identifier) (identifie,"[8,10,11,12,13,14]"
84,119620,ator (call (attribute (identifier) (identifier)) (,"[8,10,11,12,13,14,15]"
85,292488,er)) (argument_list (subscript (identifier) (integ,"[8,9,10,11,12,13,14,15]"
86,974154,) (argument_list (subscript (identifier) (integer),"[8,9,10,11,12,13,14,15]"
87,2262618,)) (subscript (identifier) (identifier)))) (identi,"[8,10,11,12,13,14]"
88,2175210,cript (identifier) (identifier)))) (identifier))) ,"[8,10,11,12,13,14]"
89,1157375,n_statement (call (attribute (identifier) (identif,"[8,9,10,11,12,13,14,15]"
90,69935,ist (subscript (identifier) (binary_operator (iden,"[8,10,11,12,13,14]"
91,2254237,nt (assignment (expression_list (identifier)) (exp,"[8,9,10,11,12,13,14,15]"
92,340588,)) (argument_list (identifier) (attribute (identif,"[8,9,10,11,12,13,14,15]"
93,91989,(attribute (identifier) (identifier)) (binary_oper,"[8,9,10,11,12,13,14,15]"
94,1564585,atement (augmented_assignment (expression_list (at,"[8,9,10,11,12,13,14,15]"
95,536931,ibute (identifier) (identifier))) (expression_list,"[8,9,10,11,12,13,14,15]"
96,638344,_statement (expression_list (identifier))))) (func,"[8,9,10,11,12,13,14,15]"
97,2556276,on_list (identifier))))) (function_definition (ide,"[8,9,10,11,12,13,14,15]"
98,25231,rameters (identifier)) (block (expression_statemen,"[8,9,10,11,12,13,14,15]"
99,52177,sion_list (identifier)) (expression_list (list_com,"[8,9,10,11,12,13,14,15]"
100,930142,dentifier) (argument_list (call (attribute (identi,"[8,9,10,11,12,13,14,15]"
101,687161, (identifier)) (argument_list))))))))) (expression,"[8,9,10,11,12,13,14]"
102,412981,nt_list))))))))) (expression_statement (assignment,"[8,9,10,11,12,13,14]"
103,1244326,l (identifier) (argument_list (identifier))) (inte,"[8,9,10,11,12,13,14,15]"
104,557020,ger)) (block (expression_statement (assignment (ex,"[8,9,10,11,12,13,14,15]"
105,859647,(identifier)) (expression_list (attribute (identif,"[8,9,10,11,12,13,14]"
106,819147,entifier)) (expression_list (attribute (identifier,"[8,9,10,11,12,13,14]"
107,929789,ion_list (identifier) (identifier)) (expression_li,"[8,9,10,11,12,13,14,15]"
108,341162,entifier)) (expression_list (subscript (identifier,"[8,9,10,11,12,13,14]"
109,1687921,ifier) (identifier))))) (expression_statement (ass,"[8,9,10,11,12,13,14]"
110,102234,rator (identifier) (identifier)) (block (expressio,"[8,9,10,11,12,13,14,15]"
111,743627,) (expression_list (identifier)))) (expression_sta,"[8,9,10,11,12,13,14,15]"
112,1496615,ntifier) (identifier)) (expression_list (call (att,"[8,9,10,11,12,13,14,15]"
113,726092,ment_list (identifier)))))) (expression_statement ,"[8,9,10,11,12,13,14,15]"
114,1386539,ression_statement (assignment (expression_list (su,"[8,9,10,11,12,13,14,15]"
115,172799,on_statement (assignment (expression_list (subscri,"[8,9,10,11,12,13,14,15]"
116,611490,ignment (expression_list (subscript (identifier) (,"[8,9,10,11,12,13,14,15]"
117,816969,fier) (argument_list (attribute (identifier) (iden,"[8,9,10,11,12,13,14,15]"
118,924585,ument_list (attribute (identifier) (identifier)) (,"[8,9,10,11,12,13,14,15]"
119,1169310,nary_operator (identifier) (identifier)) (identifi,"[8,9,10,11,12,13,14]"
120,938913, (tuple (subscript (identifier) (identifier)) (sub,"[8,9,10,11,12,13,14]"
121,1592842,fier) (identifier)) (subscript (binary_operator (i,"[8,9,10,11,12,13,14]"
122,1608899,t_list (identifier)))) (expression_statement (assi,"[8,9,10,11,12,13,14]"
123,789602,r) (parameters (identifier) (identifier) (identifi,"[8,9,10,11,12,13,14,15]"
124,472307,ters (identifier) (identifier) (identifier)) (bloc,"[8,9,10,11,12,13,14,15]"
125,1278009,comprehension (subscript (subscript (attribute (id,"[8,9,10,11,12,13,14]"
126,277251,identifier)) (identifier)) (for_in_clause (variabl,"[8,9,10,11,12,13,14]"
127,211322,ier)) (identifier)) (for_in_clause (variables (ide,"[8,9,10,11,12,13,14]"
128,198257,)) (class_definition (identifier) (block (function,"[8,10,11,12,13,14,15]"
129,222988, (class_definition (identifier) (block (function_d,"[8,9,10,11,12,13,14,15]"
130,746781,efinition (identifier) (block (function_definition,"[8,9,10,11,12,13,14,15]"
131,555905,n (identifier) (parameters (identifier) (list_spla,"[8,9,10,11,12,13,14,15]"
132,483485,(identifier) (list_splat (identifier))) (block (ex,"[8,9,10,11,12,13,14,15]"
133,172730,st_splat (identifier))) (block (expression_stateme,"[8,9,10,11,12,13,14,15]"
134,1240334,ntifier))) (block (expression_statement (assignmen,"[8,9,10,11,12,13,14,15]"
135,29752,entifier) (identifier))) (expression_list (call (i,"[8,9,10,11,12,13,14,15]"
136,1453655,) (expression_list (call (identifier) (argument_li,"[8,9,10,11,12,13,14,15]"
137,2247815,nment (expression_list (identifier) (identifier) (,"[8,10,11,12,13,14]"
138,580522,(identifier)) (expression_list (identifier)))) (ex,"[8,9,10,11,12,13,14,15]"
139,113035,er)) (expression_list (identifier)))) (expression_,"[8,9,10,11,12,13,14,15]"
140,956643,ist (identifier))) (call (identifier) (argument_li,"[8,9,10,11,12,13,14,15]"
141,947206,er))) (call (identifier) (argument_list (identifie,"[8,9,10,11,12,13,14,15]"
142,480341,fier)))))) (expression_statement (call (attribute ,"[8,9,10,11,12,13,14,15]"
143,57302,ifier) (argument_list))))) (for_statement (variabl,"[8,9,10,11,12,13,14,15]"
144,144397,ession_list (subscript (identifier) (tuple (identi,"[8,10,11,12,13,14]"
145,95089,le (identifier) (identifier)))) (expression_list (,"[8,10,11,12,13,14]"
146,1302386, (identifier) (argument_list (identifier)))))) (fo,"[8,9,10,11,12,13,14]"
147,1128558,st (identifier)))))) (for_statement (variables (id,"[8,9,10,11,12,13,14]"
148,1009263,entifier)))))) (for_statement (variables (identifi,"[8,9,10,11,12,13,14]"
149,269567,ment (variables (identifier)) (expression_list (at,"[8,9,10,11,12,13,14,15]"
150,716193,tribute (identifier) (identifier))) (block (expres,"[8,10,11,12,13,14,15]"
151,368691,fier) (identifier)) (identifier)) (argument_list (,"[8,9,10,11,12,13,14,15]"
152,2689751,ntifier)))) (expression_statement (call (attribute,"[8,10,11,12,13,14]"
153,1270491,l (attribute (subscript (identifier) (identifier)),"[8,10,11,12,13,14]"
154,793509,ubscript (identifier) (identifier)) (identifier)) ,"[8,9,10,11,12,13,14,15]"
155,532870,(identifier) (identifier)) (identifier)) (argument,"[8,9,10,11,12,13,14,15]"
156,2564668,identifier)) (block (return_statement (expression_,"[8,9,10,11,12,13,14,15]"
157,185980,l (identifier) (argument_list (identifier))) (iden,"[8,9,10,11,12,13,14]"
158,852699,ll (identifier) (argument_list (attribute (identif,"[8,9,10,11,12,13,14,15]"
159,576190,on_list (binary_operator (attribute (call (identif,"[8,10,11,12,13,14]"
160,632482,dentifier) (argument_list (identifier))) (identifi,"[8,10,11,12,13,14]"
161,2516995,t (identifier))) (identifier)) (call (identifier) ,"[8,10,11,12,13,14]"
162,2742263,tifier))) (identifier)) (call (identifier) (argume,"[8,10,11,12,13,14]"
163,4224979,)) (identifier)) (call (identifier) (argument_list,"[8,10,11,12,13,14]"
164,6091618,identifier)) (call (identifier) (argument_list (ca,"[8,9,10,11,12,13,14,15]"
165,21841, (identifier))))))))))) (function_definition (iden,"[8,9,10,11,12,13,14,15]"
166,209437,entifier) (identifier) (identifier)) (block (expre,"[8,9,10,11,12,13,14,15]"
167,374415,on_statement (call (attribute (attribute (identifi,"[8,9,10,11,12,13,14,15]"
168,575426,)) (identifier)) (argument_list (tuple (identifier,"[8,10,11,12,13,14]"
169,328287,nt (expression_list (subscript (attribute (identif,"[8,10,11,12,13,14,15]"
170,79984,identifier) (identifier)) (tuple (identifier) (ide,"[8,10,11,12,13,14]"
171,777758,r)) (identifier)) (argument_list (identifier)))) (,"[8,10,11,12,13,14]"
172,2686564,identifier)) (argument_list (identifier)))) (expre,"[8,10,11,12,13,14]"
173,1806634,n_statement (call (attribute (subscript (attribute,"[8,9,10,11,12,13,14,15]"
174,1956326,ute (identifier) (identifier)) (identifier)) (iden,"[8,10,11,12,13,14]"
175,2675111,tion (identifier) (parameters (identifier) (identi,"[8,9,10,11,12,13,14,15]"
176,2997748,parenthesized_expression (boolean_operator (compar,"[8,10,11,12,13,14]"
177,587623,an_operator (comparison_operator (identifier) (ide,"[8,10,11,12,13,14,15]"
178,472246,ator (identifier) (identifier)) (comparison_operat,"[8,10,11,12,13,14,15]"
179,288515,(identifier)) (comparison_operator (identifier) (i,"[8,10,11,12,13,14,15]"
180,1777764,ifier) (identifier))))) (expression_statement (cal,"[8,9,10,11,12,13,14]"
181,829968,r)) (identifier)) (argument_list (identifier)))))),"[8,10,11,12,13,14]"
182,1717576,ted_name (identifier))) (function_definition (iden,"[8,9,10,11,12,13,14,15]"
183,1214625,t_list))))) (expression_statement (assignment (exp,"[8,9,10,11,12,13,14,15]"
184,315959,ment (variables (identifier)) (expression_list (id,"[8,9,10,11,12,13,14,15]"
185,851480,pression_list (identifier)) (block (expression_sta,"[8,9,10,11,12,13,14,15]"
186,295091, (subscript (subscript (identifier) (integer)) (in,"[8,9,10,12,13,14,15]"
187,1116389,dentifier) (identifier)) (argument_list (attribute,"[8,9,10,11,12,13,14,15]"
188,775014,ntifier) (identifier)) (block (if_statement (compa,"[8,9,10,11,12,13,14,15]"
189,7729,entifier)))))) (return_statement (expression_list ,"[8,9,10,11,12,13,14,15]"
190,341574,ntifier) (identifier) (identifier) (identifier)) (,"[8,10,11,12,13,14]"
191,1306355,ier) (identifier) (identifier)) (block (expression,"[8,9,10,11,12,13,14,15]"
192,91794,t (identifier)) (expression_list (subscript (ident,"[8,10,11,12,13,14]"
193,2139823,identifier))))) (for_statement (variables (identif,"[8,9,10,11,12,13,14]"
194,605164,))) (if_statement (comparison_operator (identifier,"[8,9,10,11,12,13,14,15]"
195,392246,ement (expression_list (binary_operator (identifie,"[8,9,10,11,12,13,14,15]"
196,221296,)))))) (else_clause (block (expression_statement (,"[8,9,10,11,12,13,14,15]"
197,324766,nary_operator (identifier) (list (identifier)))))),"[8,9,10,11,12,13,14,15]"
198,799311,(return_statement (expression_list (identifier)))),"[8,9,10,11,12,13,14,15]"
199,603708,(identifier)) (expression_list (identifier)))) (if,"[8,10,11,12,13,14]"
200,641898,arison_operator (call (identifier) (argument_list ,"[8,9,10,11,12,13,14,15]"
201,180418,dentifier) (argument_list (subscript (attribute (i,"[8,10,11,12,13,14]"
202,2438174,(subscript (attribute (identifier) (identifier)) (,"[8,10,11,12,13,14]"
203,840149,r)) (block (expression_statement (call (attribute ,"[8,9,10,11,12,13,14,15]"
204,1280413,dentifier)) (identifier)))) (integer)) (block (exp,"[8,10,11,12,13,14]"
205,911691,entifier)))) (integer)) (block (expression_stateme,"[8,10,11,12,13,14]"
206,181054,er)))))))) (return_statement (expression_list (cal,"[8,10,11,12,13,14]"
207,1111019, (identifier) (parameters (identifier) (identifier,"[8,9,10,11,12,13,14,15]"
208,1674730,r)) (block (expression_statement (assignment (expr,"[8,9,10,11,12,13,14,15]"
209,152016,nteger))))) (block (expression_statement (augmente,"[8,10,11,12,13,14]"
210,1610977,atement (augmented_assignment (expression_list (id,"[8,9,10,11,12,13,14,15]"
211,514254,ntifier) (identifier)) (argument_list))))) (expres,"[8,9,10,11,12,13,14]"
212,303786,r) (identifier)) (argument_list))))) (expression_s,"[8,9,10,11,12,13,14]"
213,354008,t_comprehension (integer) (for_in_clause (variable,"[8,9,10,11,12,13,14,15]"
214,1531572,er) (for_in_clause (variables (identifier)) (call ,"[8,9,10,11,12,13,14,15]"
215,441111,tifier)) (call (identifier) (argument_list (identi,"[8,9,10,11,12,13,14,15]"
216,147944,r)) (call (identifier) (argument_list (identifier),"[8,9,10,11,12,13,14,15]"
217,510297,argument_list (identifier)))) (block (for_statemen,"[8,9,10,11,12,13,14,15]"
218,834772,identifier) (integer)) (identifier)))) (block (exp,"[8,9,10,11,12,13,14]"
219,717947,argument_list (identifier) (identifier)))))) (expr,"[8,9,10,11,12,13,14,15]"
220,207767,ist (identifier) (identifier)))))) (expression_sta,"[8,9,10,11,12,13,14,15]"
221,1931514,ssion_list (identifier)))))) (function_definition ,"[8,9,10,11,12,13,14]"
222,1902139,sion_list (binary_operator (binary_operator (binar,"[8,9,10,11,12,13,14,15]"
223,452771,tor (binary_operator (attribute (call (identifier),"[8,9,10,11,12,13,14]"
224,226389,entifier)) (string)) (call (identifier) (argument_,"[8,9,10,11,12,13,14]"
225,3436880,(module (import_from_statement (dotted_name (ident,"[9,8,10,11,12,13,14]"
226,1619287,import_from_statement (dotted_name (identifier)) (,"[9,8,10,11,12,13,14,15]"
227,1556189,me (identifier)) (dotted_name (identifier))) (impo,"[9,8,10,11,12,13,14,15]"
228,808863,tifier)) (dotted_name (identifier))) (import_state,"[9,8,10,11,12,13,14]"
229,703618,er))) (import_statement (aliased_import (dotted_na,"[9,8,10,11,12,13,14]"
230,100895,))) (import_statement (aliased_import (dotted_name,"[9,8,10,11,12,13,14]"
231,1905809,ent (aliased_import (dotted_name (identifier)) (id,"[9,8,10,11,12,13,14,15]"
232,2224760, (aliased_import (dotted_name (identifier)) (ident,"[9,8,10,11,12,13,14]"
233,2773435,ed_import (dotted_name (identifier)) (identifier)),"[9,8,10,11,12,13,14]"
234,1784157,ier))) (import_statement (dotted_name (identifier),"[9,8,10,11,12,13,14]"
235,1773012,ument_list (list_splat (identifier))))))) (return_,"[9,8,10,11,12,13,14]"
236,791997,t_splat (identifier))))))) (return_statement))) (f,"[9,8,10,11,13,14]"
237,152078,r) (identifier)))))))))) (function_definition (ide,"[9,8,10,11,12,13,14]"
238,88170,r))))))) (string)))))) (decorated_definition (deco,"[9,8,10,11,13,14]"
239,602927,tring)))))) (decorated_definition (decorator (dott,"[9,8,10,11,13,14,15]"
240,947882,g)))))) (decorated_definition (decorator (dotted_n,"[9,8,10,11,13,14,15]"
241,2763540,identifier) (parameters (identifier) (default_para,"[9,8,10,11,12,13,14,15]"
242,2498700,ier) (parameters (identifier) (default_parameter (,"[9,8,10,11,12,13,14,15]"
243,1848355,arameters (identifier) (default_parameter (identif,"[9,8,10,11,12,13,14,15]"
244,383355,eters (identifier) (default_parameter (identifier),"[9,8,10,11,12,13,14,15]"
245,664081, (string)) (default_parameter (identifier) (none)),"[9,8,10,11,12,13,14,15]"
246,294930,(default_parameter (identifier) (integer)) (defaul,"[9,8,10,11,12,13,14,15]"
247,254788,t_parameter (identifier) (integer)) (default_param,"[9,8,10,11,12,13,14,15]"
248,1989558,tifier) (none)) (default_parameter (identifier) (f,"[9,8,10,11,12,13,14,15]"
249,632922,ifier) (false)) (default_parameter (identifier) (i,"[9,8,10,11,12,13,14,15]"
250,377018, (default_parameter (identifier) (integer))) (bloc,"[9,8,10,11,12,13,14,15]"
251,1087279,tifier) (integer))) (block (expression_statement (,"[9,8,10,11,12,13,14,15]"
252,561151,list (identifier) (identifier) (identifier) (ident,"[9,8,10,11,12,13,14,15]"
253,121665,tifier) (identifier) (identifier)))))) (return_sta,"[9,8,10,11,12,13,14,15]"
254,443651,identifier) (argument_list (identifier)))))))) (fu,"[9,8,10,11,12,13,14]"
255,766310,tifier) (parameters (identifier) (identifier) (def,"[9,8,10,11,12,13,14,15]"
256,993928,ntifier) (default_parameter (identifier) (string)),"[9,8,10,11,12,13,14,15]"
257,1790497,(string)) (default_parameter (identifier) (string ,"[9,8,10,11,12,13,14,15]"
258,484895,t_parameter (identifier) (string (escape_sequence),"[9,8,10,11,12,13,14,15]"
259,1140945,er (identifier) (string (escape_sequence))) (defau,"[9,8,10,11,12,13,14,15]"
260,1175364,sequence))) (default_parameter (identifier) (strin,"[9,8,10,11,12,13,14,15]"
261,298976,efault_parameter (identifier) (string))) (block (e,"[9,8,10,11,12,13,14,15]"
262,1763230,ault_parameter (identifier) (string))) (block (exp,"[9,8,10,11,12,13,14,15]"
263,2146012,ter (identifier) (string))) (block (expression_sta,"[9,8,10,11,12,13,14,15]"
264,266483,tifier) (identifier)) (identifier) (identifier) (i,"[9,8,10,11,12,13,14,15]"
265,526402,fier)) (identifier) (identifier) (identifier) (ide,"[9,8,10,11,12,13,14,15]"
266,96249,dentifier) (identifier)))) (return_statement))) (f,"[9,8,10,11,12,13,14]"
267,636891,identifier)) (argument_list))))) (assert_statement,"[9,8,10,11,12,13,14]"
268,1851775,ssert_statement (parenthesized_expression (compari,"[9,8,10,11,12,13,14]"
269,158127,hesized_expression (comparison_operator (identifie,"[9,8,10,11,12,13,14]"
270,641779,_expression (comparison_operator (identifier) (ide,"[9,8,10,11,12,13,14]"
271,1523587,r (identifier) (identifier)))) (expression_stateme,"[9,8,10,11,12,13,14]"
272,2994159,tifier) (identifier)) (block (for_statement (varia,"[9,8,10,11,12,13,14]"
273,467599,ll (identifier) (argument_list (list (identifier) ,"[9,8,10,11,12,13,14]"
274,481408,(identifier) (binary_operator (parenthesized_expre,"[9,8,10,11,12,13,14]"
275,431641,ed_expression (binary_operator (binary_operator (i,"[9,8,10,11,12,13,14]"
276,310124, (identifier)) (identifier))) (integer)))))))))))),"[9,8,10,11,12,13,14]"
277,244290,r)) (identifier))) (integer)))))))))))))))) (retur,"[9,8,10,11,12,13,14]"
278,196685,) (identifier))) (integer)))))))))))))))) (return_,"[9,8,10,11,12,13,14]"
279,13168,)))))))))))) (return_statement (expression_list (i,"[9,8,10,11,12,13,14,15]"
280,887428,entifier) (identifier)) (argument_list (subscript ,"[9,8,10,11,12,13,14,15]"
281,24981,ifier))) (binary_operator (identifier) (integer))),"[9,8,10,11,12,13,14,15]"
282,1488600,rator (identifier) (integer))) (identifier))) (exp,"[9,8,10,11,12,13,14,15]"
283,1849674,r) (binary_operator (identifier) (integer))) (iden,"[9,15]"
284,814759,dentifier) (integer))) (identifier)) (identifier)),"[9,8,10,11,12,13,14,15]"
285,146265,nary_operator (identifier) (integer)))) (expressio,"[9,8,10,11,12,13,14,15]"
286,2784492, (identifier) (binary_operator (identifier) (integ,"[9,15]"
287,1301649,ifier) (integer))))) (block (expression_statement ,"[9,15]"
288,519335,er))))) (block (expression_statement (assignment (,"[9,15]"
289,407092,gument_list (identifier) (binary_operator (identif,"[9,8,10,11,12,13,14,15]"
290,135644,operator (identifier) (integer))))) (block (if_sta,"[9,8,10,11,12,13,14,15]"
291,142293,(block (if_statement (comparison_operator (subscri,"[9,8,10,11,12,13,14,15]"
292,274927,ript (identifier) (identifier)) (identifier)) (sub,"[9,8,10,11,12,13,14,15]"
293,162826,nary_operator (subscript (subscript (identifier) (,"[9,15]"
294,1280792,entifier)) (binary_operator (identifier) (integer),"[9,15]"
295,1340141,n_list (subscript (subscript (identifier) (identif,"[9,15]"
296,351550,ger)))))) (expression_statement (assignment (expre,"[9,8,10,11,12,13,14,15]"
297,483586,dentifier) (identifier)) (argument_list (call (att,"[9,8,10,11,12,13,14,15]"
298,2071186,ression_list (call (identifier) (argument_list (li,"[9,15]"
299,1076438,r) (binary_operator (identifier) (integer))) (subs,"[9,8,10,11,12,13,14,15]"
300,588342,))) (if_statement (comparison_operator (subscript ,"[9,8,10,11,12,13,14,15]"
301,1053236,ntifier) (identifier)) (identifier)))))) (expressi,"[9,8,10,11,12,13,14,15]"
302,1778388,r)) (argument_list (tuple (subscript (identifier) ,"[9,15]"
303,720696,ifier) (integer)) (attribute (identifier) (identif,"[9,8,10,11,12,13,14,15]"
304,752874,ist (tuple (subscript (identifier) (integer)) (att,"[9,15]"
305,742261,(binary_operator (identifier) (integer)) (attribut,"[9,8,10,11,12,13,14,15]"
306,1560571,erator (subscript (attribute (identifier) (identif,"[9,15]"
307,120910,r)) (identifier)) (block (expression_statement (as,"[9,8,10,11,12,13,14,15]"
308,1897252,nt_list (tuple (subscript (identifier) (integer)) ,"[9,15]"
309,694428,fier)) (expression_list (subscript (attribute (ide,"[9,8,10,11,12,13,14,15]"
310,925913,ession_list (subscript (attribute (identifier) (id,"[9,8,10,11,12,13,14,15]"
311,1521110,ion_list (list_comprehension (set (identifier)) (f,"[9,8,10,11,12,13,14]"
312,2683842,omprehension (set (identifier)) (for_in_clause (va,"[9,8,10,11,12,13,14]"
313,780651,)) (expression_list (list_comprehension (call (ide,"[9,8,10,11,12,13,14]"
314,2194086,ribute (identifier) (identifier)) (argument_list)),"[9,8,10,11,12,13,14]"
315,2893179,(argument_list))))))))) (while_statement (comparis,"[9,8,10,11,12,13,14]"
316,139283,er))) (integer)) (block (expression_statement (ass,"[9,8,10,11,12,13,14,15]"
317,895392,ier) (identifier)) (expression_list (none) (none)),"[9,8,10,11,12,13,14]"
318,492426,none)))) (expression_statement (assignment (expres,"[9,8,10,11,12,13,14]"
319,841255,one)))) (expression_statement (assignment (express,"[9,8,10,11,12,13,14]"
320,459648,n_list (subscript (identifier) (identifier)) (subs,"[9,8,10,11,12,13,14]"
321,1612561, (identifier) (identifier)) (subscript (identifier,"[9,8,10,11,12,13,14,15]"
322,231001,ist (identifier) (identifier)))))) (if_statement (,"[9,8,10,11,12,13,14]"
323,2973619,ifier) (identifier)) (expression_list (identifier),"[9,8,10,11,12,13,14]"
324,2030098,dentifier) (identifier)))))))))) (expression_state,"[9,8,10,11,12,13,14]"
325,1973004,ifier)))))))))) (expression_statement (assignment ,"[9,8,10,11,12,13,14]"
326,953683,list (identifier))) (call (attribute (identifier) ,"[9,8,10,11,12,13,14]"
327,715860,ion_list (identifier)) (expression_list (binary_op,"[9,8,10,11,12,13,14,15]"
328,1099101,entifier)) (expression_list (binary_operator (iden,"[9,8,10,11,12,13,14]"
329,1697344,r)) (expression_list (binary_operator (identifier),"[9,8,10,11,12,13,14]"
330,1706724,_operator (identifier) (integer))))) (expression_s,"[9,8,10,11,12,13,14,15]"
